PCIF,LoginID
797459,11155549
693721,11164699
783951,11168369
814311,11168534
799828,11172973
155363,11173757
814920,11173864
809322,11176057
791331,11176362
806015,11177469
809780,11177675
804712,11179002
804694,11179309
800393,11179325
804227,11179333
814033,11179804
809793,11180109
811324,11183244
798375,11183467
806114,11183780
808813,11184812
813287,11184952
812020,11185371
807427,11186791
814604,11187518
812432,11187617
807356,11187757
134529,11188128
197543,11188151
809115,11188466
795949,11188987
784303,11189118
800374,11189407
804185,11196675
787869,11196741
807866,11197178
813261,11203562
812438,11203810
811553,11207761
809423,11208421
809566,11208462
809675,11208470
809842,11208504
810068,11208512
810596,11208553
810679,11208579
810689,11208587
810694,11208595
810820,11208611
810834,11208629
810837,11208637
810846,11208645
810868,11208652
810958,11208678
811178,11208694
811290,11208710
811512,11208744
811780,11208769
811820,11208777
811874,11208785
811916,11208801
812150,11208827
812157,11208835
812165,11208843
812164,11208850
812259,11208868
812551,11208900
812655,11208918
812788,11208926
812752,11208934
812913,11208942
813292,11208991
813460,11209023
813527,11209031
813537,11209049
813591,11209056
812577,11209064
813686,11209080
813705,11209098
813929,11209114
814130,11209155
814161,11209163
814266,11209189
814539,11209221
814667,11209247
814682,11209254
819979,11210120
812985,11210195
813073,11210559
810077,11211938
198337,11212498
112613,11213330
813036,11218677
814384,11219261
164160,11224881
798255,11230540
831459,11232306
607553,11233619
689635,11233965
813367,11235473
794581,11235499
784509,11235515
813937,11235523
797228,11235572
767991,11237412
792344,11240275
703811,11245217
787296,11255125
153701,11268961
796817,11281600
791991,10957556
780595,10978487
795422,10979634
782268,10990516
792239,10990839
792888,10990938
796319,10991233
798289,10991324
775231,10991480
797083,10991860
829133,10991985
789323,10998881
793772,10999186
814727,10999913
787315,11000505
773268,11004259
773445,11004267
774097,11004333
774087,11004341
774289,11004366
774706,11004374
774770,11004382
775920,11004507
775941,11004515
776167,11004531
776289,11004564
776374,11004580
776958,11004648
777073,11004663
777218,11004689
777437,11004713
777612,11004739
777630,11004747
777738,11004754
777785,11004762
777991,11004804
778527,11004846
778551,11004853
778664,11004887
778804,11004911
779663,11005009
779747,11005025
780262,11005066
780275,11005074
780283,11005082
780397,11005090
780292,11005108
780435,11005157
780341,11005173
780653,11005215
781184,11005298
781387,11005314
781546,11005330
781657,11005348
781652,11005355
781940,11005397
781981,11005413
782235,11005454
782421,11005488
782642,11005496
783188,11005546
783219,11005553
783310,11005587
783431,11005603
783514,11005611
783467,11005629
783622,11005652
783616,11005660
781092,11005678
783666,11005686
783749,11005694
783900,11005702
783974,11005736
784072,11005751
783983,11005777
784240,11005801
784374,11005819
784399,11005827
784627,11005850
784727,11005868
784821,11005876
784973,11005884
785136,11005892
785220,11005900
785379,11005934
780773,11005975
785599,11005991
772522,11006015
785732,11006023
785776,11006031
786100,11006072
786119,11006080
786287,11006106
786292,11006114
786398,11006130
786467,11006155
786805,11006171
787081,11006189
787112,11006197
787377,11006213
787450,11006221
783685,11021998
779786,11024315
782869,11024364
783448,11024463
790122,11025023
795240,11025502
797195,11025536
780869,11025569
672115,11025692
792588,11025718
793334,11025965
831596,11026203
800293,11040279
788382,11049502
784722,11050138
796521,11051417
796817,11052142
812345,11054429
693218,11054684
785682,11056432
793166,11057026
790768,11057091
789220,11057190
181917,11059279
779273,10805946
776233,10835141
784431,10835455
790380,10835885
795074,10836180
780984,10849696
784977,10849878
784780,10849886
789360,10850074
787227,10850215
787688,10850256
789446,10850348
790812,10850439
791743,10850454
795957,10850660
794774,10850686
772696,10863358
800876,10883489
788529,10890062
794207,10893488
793119,10897190
790471,10897208
786798,10897406
783647,10897570
784731,10897588
796247,10897976
795002,10898073
802064,10904186
737774,10792474
131796,00151400
130836,00338924
155371,10016809
620738,10057068
158835,01114712
162713,01120511
123978,10632373
165901,10632712
124665,10633272
767607,10634502
773062,10636184
778826,10638065
753761,10655481
781942,10680208
783745,10680364
180161,10709718
774105,10748617
803367,10749680
176290,10788811
766335,10790502
785878,10790833
789664,10791302
656778,10243387
198554,10296880
635632,10337783
675369,10350083
125827,10383621
118944,10388794
670036,10388976
451643,10414079
137843,10449240
693408,10553827
786067,10573940
786757,10573981
793723,10574369
793697,10574385
